"lucide_import","kind","scope","file"
"Copy","runtime","docs","apps/docs/src/pages/input-group/index.tsx"
"Copy","runtime","docs","apps/docs/src/pages/input/index.tsx"
"Copy","runtime","components","packages/ui/src/components/chat-bubble.tsx"
"Copy","runtime","components","packages/ui/src/components/code.tsx"
"Copy","runtime","components","packages/ui/src/components/message.tsx"
"CreditCard","runtime","docs","apps/docs/src/pages/command/index.tsx"
"CreditCard","runtime","docs","apps/docs/src/pages/input-group/index.tsx"
"CreditCardIcon","runtime","docs","apps/docs/src/pages/dropdown-menu/index.tsx"
"Ellipsis","runtime","components","packages/ui/src/components/reply-box/reply-box-button-tray.tsx"
"Eye","runtime","components","packages/ui/src/components/sensitive-field.tsx"
"EyeOff","runtime","components","packages/ui/src/components/sensitive-field.tsx"
"FileCode","runtime","docs","apps/docs/src/pages/input-group/index.tsx"
"FileText","runtime","components","packages/ui/src/components/file-tree.tsx"
"FileWarning","runtime","components","packages/ui/src/components/attachment.tsx"
"Folder","runtime","components","packages/ui/src/components/file-tree.tsx"
"FolderIcon","runtime","docs","apps/docs/src/pages/context-menu/index.tsx"
"FolderOpen","runtime","components","packages/ui/src/components/file-tree.tsx"
"Forward","runtime","components","packages/ui/src/components/reply-box/reply-box-actions.ts"
"Funnel","runtime","docs","apps/docs/src/pages/filters/index.tsx"
"Funnel","runtime","components","packages/ui/src/components/filters.tsx"
"GitBranch","runtime","docs","apps/docs/src/pages/marker/index.tsx"
"Globe2Icon","runtime","components","packages/ui/src/components/telephone-field.tsx"
"GripVertical","runtime","components","packages/ui/src/components/sortable-list.tsx"
"Headset","runtime","docs","apps/docs/src/pages/structure/app-sidebar/demo.tsx"
"Headset","runtime","components","packages/ui/src/components/app-header.tsx"
"Home","runtime","docs","apps/docs/src/components/layout/app-shell.tsx"
"Home","runtime","docs","apps/docs/src/pages/breadcrumb/index.tsx"
"Home","runtime","docs","apps/docs/src/pages/sidebar/index.tsx"
"Home","runtime","components","packages/ui/src/components/header.tsx"
"House","runtime","docs","apps/docs/src/pages/structure/app-sidebar/demo.tsx"
"Image","runtime","components","packages/ui/src/components/reply-box/reply-box-actions.ts"
"ImageUp","runtime","docs","apps/docs/src/pages/attachment/index.tsx"
